seed,scenario,t,candidate_axis_id,candidate_rank,entity_id,ot_id,axis_type,generated_from,source_signal_strength,confidence,ambiguity,noise_risk,topology_break_risk_prior,pre_sandbox_score,candidate_status,sandbox_required,verified_by_sandbox,passed_to_action_projection,unverified_candidate_can_pass,uses_gk_summary,uses_ot_exploration_view,uses_residual_noise_log,uses_shadow_parameter_state,exploration_generates_pressure,exploration_updates_parameter_box,exploration_writes_world,exploration_writes_gk,exploration_writes_ot,expected_effect,evidence_basis,exploration_contract,loop_step,run_seed,run_scenario,exploration_candidate_id,action_channel,target_need,graph_object_id,v8_requested,v8_confidence,v8_conflict,v8_unresolved,v8_support_contract,zero_source_audit_row,local_audit_role,local_audit_stage,local_audit_contract,v8_support_status,source_rows_audited,source_fingerprint,v8_is_gk_generator,v8_is_upper_formal_input,v8_generates_pressure,v8_updates_parameter_box,v8_calls_actionmodule,v8_writes_world,v8_writes_gk,v8_writes_ot,v8_writes_canonical_parameter,local_audit_writeback_performed,local_audit_passed,exploration_candidate_local_audit,exploration_projection_created_by_local_audit,exploration_action_created_by_local_audit,sidecar_compression_by_local_audit
1805,relation_lock,0,EXP_t0_E009_01_d61eb6,1,E009,OT_GO_E009,residual_gap_axis,residual_noise_ledger,0.496697,0.663275,0.447143,0.452845,0.595367,0.56745,ready_for_sandbox,True,False,False,False,True,True,True,True,False,False,False,False,False,candidate-only: test whether a local exploration axis could reduce residual/unresolved tension without breaking topology,O_t exploration view + retained noise ledger; entity=E009; signal=0.497; noise=0.453; topology=0.595,Task7_exploration_candidate_generation__candidate_only_no_pressure_no_action_no_parameter_update__RC1,0,1805,relation_lock,EXP_t0_E009_01_d61eb6,exploration_probe,0.56745,GO_E009,True,0.3285016523338516,0.39723603936213087,0.5626873895790284,local_support_only__not_upper_formal_input__noncompressed_RC1,False,exploration_v8_audit,v8_local_support_audit,Task8_v8_local_audit_only__not_GK_generator__not_upper_formal_input__no_writeback__RC1,pass,6,6aa4a0f4ea82be1d,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
1805,relation_lock,0,EXP_t0_E021_02_ec5d14,2,E021,OT_GO_E021,residual_gap_axis,residual_noise_ledger,0.487863,0.651371,0.437042,0.496907,0.637929,0.552963,ready_for_sandbox,True,False,False,False,True,True,True,True,False,False,False,False,False,candidate-only: test whether a local exploration axis could reduce residual/unresolved tension without breaking topology,O_t exploration view + retained noise ledger; entity=E021; signal=0.488; noise=0.497; topology=0.638,Task7_exploration_candidate_generation__candidate_only_no_pressure_no_action_no_parameter_update__RC1,0,1805,relation_lock,EXP_t0_E021_02_ec5d14,exploration_probe,0.552963,GO_E021,True,0.3200194528232778,0.48827195077092583,0.5896064249094659,local_support_only__not_upper_formal_input__noncompressed_RC1,False,exploration_v8_audit,v8_local_support_audit,Task8_v8_local_audit_only__not_GK_generator__not_upper_formal_input__no_writeback__RC1,pass,6,6aa4a0f4ea82be1d,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
1805,relation_lock,0,EXP_t0_E010_03_b2aab8,3,E010,OT_GO_E010,residual_gap_axis,residual_noise_ledger,0.465923,0.651904,0.411305,0.455846,0.618159,0.535296,ready_for_sandbox,True,False,False,False,True,True,True,True,False,False,False,False,False,candidate-only: test whether a local exploration axis could reduce residual/unresolved tension without breaking topology,O_t exploration view + retained noise ledger; entity=E010; signal=0.466; noise=0.456; topology=0.618,Task7_exploration_candidate_generation__candidate_only_no_pressure_no_action_no_parameter_update__RC1,0,1805,relation_lock,EXP_t0_E010_03_b2aab8,exploration_probe,0.535296,GO_E010,True,0.3357048696743154,0.45317223234318416,0.5425305229856138,local_support_only__not_upper_formal_input__noncompressed_RC1,False,exploration_v8_audit,v8_local_support_audit,Task8_v8_local_audit_only__not_GK_generator__not_upper_formal_input__no_writeback__RC1,pass,6,6aa4a0f4ea82be1d,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
1805,relation_lock,0,EXP_t0_E020_04_21b685,4,E020,OT_GO_E020,residual_gap_axis,residual_noise_ledger,0.464022,0.645781,0.413532,0.483133,0.607535,0.531743,ready_for_sandbox,True,False,False,False,True,True,True,True,False,False,False,False,False,candidate-only: test whether a local exploration axis could reduce residual/unresolved tension without breaking topology,O_t exploration view + retained noise ledger; entity=E020; signal=0.464; noise=0.483; topology=0.608,Task7_exploration_candidate_generation__candidate_only_no_pressure_no_action_no_parameter_update__RC1,0,1805,relation_lock,EXP_t0_E020_04_21b685,exploration_probe,0.531743,GO_E020,True,0.33507367138530414,0.4594418235989117,0.5896962545389459,local_support_only__not_upper_formal_input__noncompressed_RC1,False,exploration_v8_audit,v8_local_support_audit,Task8_v8_local_audit_only__not_GK_generator__not_upper_formal_input__no_writeback__RC1,pass,6,6aa4a0f4ea82be1d,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
1805,relation_lock,0,EXP_t0_E007_05_d18f85,5,E007,OT_GO_E007,residual_gap_axis,residual_noise_ledger,0.456607,0.650726,0.397354,0.445431,0.628383,0.526302,ready_for_sandbox,True,False,False,False,True,True,True,True,False,False,False,False,False,candidate-only: test whether a local exploration axis could reduce residual/unresolved tension without breaking topology,O_t exploration view + retained noise ledger; entity=E007; signal=0.457; noise=0.445; topology=0.628,Task7_exploration_candidate_generation__candidate_only_no_pressure_no_action_no_parameter_update__RC1,0,1805,relation_lock,EXP_t0_E007_05_d18f85,exploration_probe,0.526302,GO_E007,True,0.3400200160844005,0.4556551314117911,0.536911233772066,local_support_only__not_upper_formal_input__noncompressed_RC1,False,exploration_v8_audit,v8_local_support_audit,Task8_v8_local_audit_only__not_GK_generator__not_upper_formal_input__no_writeback__RC1,pass,6,6aa4a0f4ea82be1d,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
1805,relation_lock,0,EXP_t0_E011_06_7562de,6,E011,OT_GO_E011,residual_gap_axis,residual_noise_ledger,0.449969,0.652229,0.391941,0.4263,0.568558,0.524186,ready_for_sandbox,True,False,False,False,True,True,True,True,False,False,False,False,False,candidate-only: test whether a local exploration axis could reduce residual/unresolved tension without breaking topology,O_t exploration view + retained noise ledger; entity=E011; signal=0.450; noise=0.426; topology=0.569,Task7_exploration_candidate_generation__candidate_only_no_pressure_no_action_no_parameter_update__RC1,0,1805,relation_lock,EXP_t0_E011_06_7562de,exploration_probe,0.524186,GO_E011,True,0.3756616955923323,0.3646213033582782,0.5509621804096071,local_support_only__not_upper_formal_input__noncompressed_RC1,False,exploration_v8_audit,v8_local_support_audit,Task8_v8_local_audit_only__not_GK_generator__not_upper_formal_input__no_writeback__RC1,pass,6,6aa4a0f4ea82be1d,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
1805,relation_lock,1,EXP_t1_E021_01_39b12e,1,E021,OT_GO_E021,residual_gap_axis,residual_noise_ledger,0.51244,0.653745,0.460447,0.528045,0.665365,0.574489,ready_for_sandbox,True,False,False,False,True,True,True,True,False,False,False,False,False,candidate-only: test whether a local exploration axis could reduce residual/unresolved tension without breaking topology,O_t exploration view + retained noise ledger; entity=E021; signal=0.512; noise=0.528; topology=0.665,Task7_exploration_candidate_generation__candidate_only_no_pressure_no_action_no_parameter_update__RC1,1,1805,relation_lock,EXP_t1_E021_01_39b12e,exploration_probe,0.574489,GO_E021,True,0.30922734533829777,0.5215814453655571,0.617620693661289,local_support_only__not_upper_formal_input__noncompressed_RC1,False,exploration_v8_audit,v8_local_support_audit,Task8_v8_local_audit_only__not_GK_generator__not_upper_formal_input__no_writeback__RC1,pass,6,307eff8ed99ac923,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
1805,relation_lock,1,EXP_t1_E011_02_cd7239,2,E011,OT_GO_E011,residual_gap_axis,residual_noise_ledger,0.494331,0.663292,0.439986,0.448618,0.570867,0.567459,ready_for_sandbox,True,False,False,False,True,True,True,True,False,False,False,False,False,candidate-only: test whether a local exploration axis could reduce residual/unresolved tension without breaking topology,O_t exploration view + retained noise ledger; entity=E011; signal=0.494; noise=0.449; topology=0.571,Task7_exploration_candidate_generation__candidate_only_no_pressure_no_action_no_parameter_update__RC1,1,1805,relation_lock,EXP_t1_E011_02_cd7239,exploration_probe,0.567459,GO_E011,True,0.3509734437612774,0.35249965732646893,0.5845621946236838,local_support_only__not_upper_formal_input__noncompressed_RC1,False,exploration_v8_audit,v8_local_support_audit,Task8_v8_local_audit_only__not_GK_generator__not_upper_formal_input__no_writeback__RC1,pass,6,307eff8ed99ac923,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
1805,relation_lock,1,EXP_t1_E009_03_c49cbc,3,E009,OT_GO_E009,residual_gap_axis,residual_noise_ledger,0.484459,0.660259,0.423514,0.446505,0.634513,0.554574,ready_for_sandbox,True,False,False,False,True,True,True,True,False,False,False,False,False,candidate-only: test whether a local exploration axis could reduce residual/unresolved tension without breaking topology,O_t exploration view + retained noise ledger; entity=E009; signal=0.484; noise=0.447; topology=0.635,Task7_exploration_candidate_generation__candidate_only_no_pressure_no_action_no_parameter_update__RC1,1,1805,relation_lock,EXP_t1_E009_03_c49cbc,exploration_probe,0.554574,GO_E009,True,0.3340773580079765,0.4407112996107563,0.5369609600609059,local_support_only__not_upper_formal_input__noncompressed_RC1,False,exploration_v8_audit,v8_local_support_audit,Task8_v8_local_audit_only__not_GK_generator__not_upper_formal_input__no_writeback__RC1,pass,6,307eff8ed99ac923,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
1805,relation_lock,1,EXP_t1_E017_04_53c136,4,E017,OT_GO_E017,residual_gap_axis,residual_noise_ledger,0.460894,0.656599,0.404532,0.423568,0.566512,0.536244,ready_for_sandbox,True,False,False,False,True,True,True,True,False,False,False,False,False,candidate-only: test whether a local exploration axis could reduce residual/unresolved tension without breaking topology,O_t exploration view + retained noise ledger; entity=E017; signal=0.461; noise=0.424; topology=0.567,Task7_exploration_candidate_generation__candidate_only_no_pressure_no_action_no_parameter_update__RC1,1,1805,relation_lock,EXP_t1_E017_04_53c136,exploration_probe,0.536244,GO_E017,True,0.3637246366354524,0.358379528519549,0.5461425546968356,local_support_only__not_upper_formal_input__noncompressed_RC1,False,exploration_v8_audit,v8_local_support_audit,Task8_v8_local_audit_only__not_GK_generator__not_upper_formal_input__no_writeback__RC1,pass,6,307eff8ed99ac923,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
1805,relation_lock,1,EXP_t1_E014_05_766129,5,E014,OT_GO_E014,residual_gap_axis,residual_noise_ledger,0.4613,0.650004,0.382927,0.457257,0.625894,0.530986,ready_for_sandbox,True,False,False,False,True,True,True,True,False,False,False,False,False,candidate-only: test whether a local exploration axis could reduce residual/unresolved tension without breaking topology,O_t exploration view + retained noise ledger; entity=E014; signal=0.461; noise=0.457; topology=0.626,Task7_exploration_candidate_generation__candidate_only_no_pressure_no_action_no_parameter_update__RC1,1,1805,relation_lock,EXP_t1_E014_05_766129,exploration_probe,0.530986,GO_E014,True,0.4098431655603233,0.41337686392659106,0.5731436097877761,local_support_only__not_upper_formal_input__noncompressed_RC1,False,exploration_v8_audit,v8_local_support_audit,Task8_v8_local_audit_only__not_GK_generator__not_upper_formal_input__no_writeback__RC1,pass,6,307eff8ed99ac923,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
